Timestamp,Worker 0,Worker 1,Worker 2,Worker 3,
1654523851268,0,,,,
1654523852314,0,,,,
1654523853205,1,,,,
1654523854198,0,,,,
1654523855185,0,,,,
1654523856185,0,,,,
1654523857186,0,,,,
1654523858189,0,,,,
1654523859190,0,,,,
1654523860187,0,,,,
1654523861190,0,,,,
1654523862186,0,,,,
1654523863193,0,,,,
1654523864185,0,,,,
1654523865187,0,,,,
1654523866187,0,,,,
1654523867185,0,,,,
1654523868186,0,,,,
1654523869185,0,,,,
1654523870184,0,,,,
1654523871186,0,,,,
1654523872189,0,,,,
1654523873195,0,
